TS,SN,Status,Watts,Lumens,Temp,Voltage
2020-04-01 00:00:00,SMBLB4,0,0.05,0.0,61.5,121
2020-04-01 01:00:00,SMBLB4,0,0.05,0.0,60.8,119
2020-04-01 02:00:00,SMBLB4,0,0.05,0.0,60.1,120
2020-04-01 03:00:00,SMBLB4,0,0.05,0.0,58.4,120
2020-04-01 04:00:00,SMBLB4,0,0.04,0.0,57.0,121
2020-04-01 05:00:00,SMBLB4,0,0.05,0.0,56.2,121
2020-04-01 06:00:00,SMBLB4,1,10.11,657.41,119.5,119
2020-04-01 07:00:00,SMBLB4,0,0.05,0.0,55.1,120
2020-04-01 08:00:00,SMBLB4,0,0.05,0.0,56.2,121
2020-04-01 09:00:00,SMBLB4,0,0.05,0.0,55.8,120
2020-04-01 10:00:00,SMBLB4,0,0.05,0.0,56.9,120
2020-04-01 11:00:00,SMBLB4,0,0.05,0.0,58.7,120
2020-04-01 12:00:00,SMBLB4,0,0.05,0.0,58.3,121
2020-04-01 13:00:00,SMBLB4,0,0.05,0.0,59.4,121
2020-04-01 14:00:00,SMBLB4,0,0.06,0.0,60.2,120
2020-04-01 15:00:00,SMBLB4,0,0.05,0.0,61.5,121
2020-04-01 16:00:00,SMBLB4,0,0.05,0.0,59.9,119
2020-04-01 17:00:00,SMBLB4,0,0.05,0.0,60.5,120
2020-04-01 18:00:00,SMBLB4,0,0.05,0.0,59.1,119
2020-04-01 19:00:00,SMBLB4,1,10.31,657.4,120.3,121
2020-04-01 20:00:00,SMBLB4,1,9.87,657.38,120.5,121
2020-04-01 21:00:00,SMBLB4,1,9.77,657.36,119.4,119
2020-04-01 22:00:00,SMBLB4,1,10.43,657.34,119.1,119
2020-04-01 23:00:00,SMBLB4,0,0.05,0.0,55.7,121
2020-04-02 00:00:00,SMBLB4,0,0.05,0.0,54.8,119
2020-04-02 01:00:00,SMBLB4,0,0.05,0.0,54.9,120
2020-04-02 02:00:00,SMBLB4,0,0.06,0.0,57.1,121
2020-04-02 03:00:00,SMBLB4,0,0.05,0.0,58.9,120
2020-04-02 04:00:00,SMBLB4,0,0.05,0.0,60.2,119
2020-04-02 05:00:00,SMBLB4,0,0.05,0.0,58.7,121
2020-04-02 06:00:00,SMBLB4,1,9.95,657.33,120.2,120
2020-04-02 07:00:00,SMBLB4,1,9.8,657.31,120.6,119
2020-04-02 08:00:00,SMBLB4,1,10.31,657.29,120.3,119
2020-04-02 09:00:00,SMBLB4,0,0.05,0.0,59.7,120
2020-04-02 10:00:00,SMBLB4,0,0.05,0.0,59.0,119
2020-04-02 11:00:00,SMBLB4,0,0.05,0.0,57.8,119
2020-04-02 12:00:00,SMBLB4,0,0.05,0.0,55.2,120
2020-04-02 13:00:00,SMBLB4,0,0.05,0.0,55.7,120
2020-04-02 14:00:00,SMBLB4,0,0.05,0.0,55.3,119
2020-04-02 15:00:00,SMBLB4,0,0.05,0.0,55.9,121
2020-04-02 16:00:00,SMBLB4,0,0.05,0.0,55.0,119
2020-04-02 17:00:00,SMBLB4,0,0.05,0.0,56.1,121
2020-04-02 18:00:00,SMBLB4,0,0.06,0.0,58.0,119
2020-04-02 19:00:00,SMBLB4,1,10.26,657.27,119.6,121
2020-04-02 20:00:00,SMBLB4,1,10.44,657.25,120.6,119
2020-04-02 21:00:00,SMBLB4,1,9.92,657.24,120.7,119
2020-04-02 22:00:00,SMBLB4,1,9.81,657.22,120.1,119
2020-04-02 23:00:00,SMBLB4,0,0.04,0.0,60.2,120
2020-04-03 00:00:00,SMBLB4,0,0.05,0.0,60.6,120
2020-04-03 01:00:00,SMBLB4,0,0.05,0.0,60.6,120
2020-04-03 02:00:00,SMBLB4,0,0.05,0.0,58.7,119
2020-04-03 03:00:00,SMBLB4,0,0.06,0.0,57.5,121
2020-04-03 04:00:00,SMBLB4,0,0.05,0.0,56.1,120
2020-04-03 05:00:00,SMBLB4,0,0.05,0.0,56.2,119
2020-04-03 06:00:00,SMBLB4,1,10.24,657.2,120.7,121
2020-04-03 07:00:00,SMBLB4,1,9.88,657.18,120.1,119
2020-04-03 08:00:00,SMBLB4,1,9.76,657.16,119.5,121
2020-04-03 09:00:00,SMBLB4,0,0.05,0.0,56.2,121
2020-04-03 10:00:00,SMBLB4,0,0.05,0.0,57.8,120
2020-04-03 11:00:00,SMBLB4,0,0.05,0.0,58.6,121
2020-04-03 12:00:00,SMBLB4,0,0.05,0.0,59.9,121
2020-04-03 13:00:00,SMBLB4,0,0.04,0.0,61.0,119
2020-04-03 14:00:00,SMBLB4,0,0.05,0.0,60.8,119
2020-04-03 15:00:00,SMBLB4,0,0.05,0.0,61.8,119
2020-04-03 16:00:00,SMBLB4,0,0.04,0.0,61.4,120
2020-04-03 17:00:00,SMBLB4,0,0.05,0.0,59.5,119
2020-04-03 18:00:00,SMBLB4,0,0.05,0.0,57.9,120
2020-04-03 19:00:00,SMBLB4,1,10.46,657.15,120.3,121
